"","gene","module"
"RPL21_like_ENSSTOG00000032524","RPL21_like_ENSSTOG00000032524",1
"SMKR1_like","SMKR1_like",2
"MEF2D_containing","MEF2D_containing",1
"ENSSTOG00000032617","ENSSTOG00000032617",5
"ENSSTOG00000032645","ENSSTOG00000032645",0
"CDC42BPB_like","CDC42BPB_like",1
"ENSSTOG00000032651","ENSSTOG00000032651",3
"ENSSTOG00000032659","ENSSTOG00000032659",3
"TMTC1_like","TMTC1_like",1
"ENSSTOG00000032691","ENSSTOG00000032691",2
"ENSSTOG00000032713","ENSSTOG00000032713",0
"LINC01578_containing","LINC01578_containing",1
"ENSSTOG00000032827","ENSSTOG00000032827",0
"ENSSTOG00000032918","ENSSTOG00000032918",2
"ENSSTOG00000032929","ENSSTOG00000032929",2
"ENSSTOG00000032941","ENSSTOG00000032941",0
"ENSSTOG00000032957","ENSSTOG00000032957",0
"Metazoa_SRP_ENSSTOG00000032958","Metazoa_SRP_ENSSTOG00000032958",0
"ZNF121_like","ZNF121_like",1
"ENSSTOG00000032997","ENSSTOG00000032997",7
"C6orf226","C6orf226",4
"ENSSTOG00000033045","ENSSTOG00000033045",0
"ENSSTOG00000033080","ENSSTOG00000033080",14
"SMIM26","SMIM26",0
"TIMM17A_like","TIMM17A_like",2
"ENSSTOG00000033129","ENSSTOG00000033129",0
"IPO8_like","IPO8_like",0
"ENSSTOG00000033156","ENSSTOG00000033156",1
"ENSSTOG00000033198","ENSSTOG00000033198",0
"VWA8_like","VWA8_like",4
"MOV10_containing","MOV10_containing",16
"ENSSTOG00000033292","ENSSTOG00000033292",1
"PPP2CB_containing","PPP2CB_containing",0
"ENSSTOG00000033366","ENSSTOG00000033366",0
"ENSSTOG00000033436","ENSSTOG00000033436",0
"NBDY","NBDY",0
"ENSSTOG00000033541","ENSSTOG00000033541",0
"ATF6_like","ATF6_like",0
"ENSSTOG00000033565","ENSSTOG00000033565",0
"GTF3C4","GTF3C4",0
"ENSSTOG00000033585","ENSSTOG00000033585",1
"ENSSTOG00000033586","ENSSTOG00000033586",0
"EPB41L3_containing","EPB41L3_containing",0
"ENSSTOG00000033635","ENSSTOG00000033635",4
"NEAT1_1_ENSSTOG00000033733","NEAT1_1_ENSSTOG00000033733",0
"ENSSTOG00000033764","ENSSTOG00000033764",0
"ENSSTOG00000033826","ENSSTOG00000033826",0
"ENSSTOG00000033833","ENSSTOG00000033833",1
"SP2-AS1_containing","SP2-AS1_containing",2
"ENSSTOG00000033872","ENSSTOG00000033872",0
