unique_gene_symbol,hy_imp,med_imp,fore_imp,hy_rank,med_rank,fore_rank
Pdf,4.477714234903572e-5,1.4751262410169064e-4,7.159404892511393e-5,6382,1920,4518
Smad9,4.4774742286733404e-5,6.902509025567537e-5,3.564810231242051e-5,6383,4877,7408
Desi1,4.477240648534294e-5,2.925848097437834e-4,1.509200816381822e-4,6384,386,2037
Fam109a,4.474574114743139e-5,0,0,6385,12575.5,12501
Nhsl1,4.4739753960709844e-5,4.314395839517258e-5,1.6375066683296368e-5,6386,7063,10732
Gata2,4.473968859354508e-5,5.342926272908303e-5,0,6387,6042,12501
CYB561D1_containing,4.473265160315978e-5,3.142719704406174e-5,3.963656607617407e-5,6388,8591,6963
ENSSTOG00000033366,4.4718732975715436e-5,1.1864956595371453e-5,1.0067672026403195e-5,6389,11968,11848
Ramp3,4.4718542544113044e-5,6.718951894140094e-5,1.4412490202917231e-5,6390,4978,11171
Homez,4.470297207927514e-5,3.797494667077539e-5,2.8392817827363823e-5,6391,7683,8500
Slc8a3,4.4702361485201656e-5,5.0549353845070954e-5,8.60352555446001e-5,6392,6301,3846
Dmd,4.467451602586842e-5,6.154623349207893e-5,9.510343299355418e-6,6393,5338,11880
Bcl2l1,4.466610420262599e-5,1.5841567512076293e-5,2.08697517817314e-5,6394,11395,9798
GBP5_containing,4.466495291271585e-5,1.2882899026139339e-5,1.8544769666276903e-5,6395,11874,10253
Trim11,4.466234683485689e-5,4.541449106569112e-5,6.935718576274296e-5,6396,6837,4661
Otub1,4.4653622750834815e-5,1.2517080119168648e-4,1.6362145422235824e-5,6397,2504,10735
Got2,4.4652979758945204e-5,4.875598682286986e-5,1.12319932080963e-4,6398,6495,3033
Ino80,4.463638551324808e-5,2.330680223551845e-5,1.6013108623104782e-4,6399,9971,1918
Tuba4a,4.4626209987142904e-5,1.0000283244910946e-4,5.8929866223278956e-5,6400,3255,5302
Flcn,4.4614415852639274e-5,2.6232210944298943e-5,8.159200419078982e-5,6401,9482,4027
Fbxo28,4.461437766238714e-5,9.985456062240276e-5,1.9275712993366178e-4,6402,3260,1452
Preb,4.458867767985379e-5,3.0629119527249006e-4,8.124176753229056e-5,6403,206,4037
Itfg2,4.45864851570791e-5,3.2751026372989864e-5,2.6561040927441444e-5,6404,8396,8823
Etaa1,4.458369322946094e-5,4.834652767903213e-5,7.242022342322963e-5,6405,6541,4472
Mccc1,4.458102211216373e-5,7.76532504841968e-5,2.8467910236908488e-5,6406,4349,8490
Rbm3,4.4556382035327654e-5,4.874037735489143e-5,2.3211327938248685e-5,6407,6496,9405
Trmt61a,4.455490874783177e-5,4.467603501049442e-5,9.139561678970491e-5,6408,6924,3672
Rpf2,4.45432830494005e-5,1.819370498400239e-5,2.4274186696430046e-5,6409,10975,9234
Znf527,4.453709404598191e-5,4.2300835115348624e-5,9.08808964919977e-5,6410,7145,3685
Dlg4,4.453569383630822e-5,3.0034427659400928e-5,1.3905430576407937e-4,6411,8818,2278
KCNJ6,4.453370896408229e-5,0,2.614676650612573e-5,6412,12575.5,8916
Ube2d1,4.452901787968201e-5,1.6464065613034295e-4,2.1325385228906632e-5,6413,1569,9719
Fundc2,4.452630052900698e-5,7.94664642441964e-5,1.6534436685083504e-5,6414,4250,10707
Mphosph10,4.450790510203477e-5,4.827542953154765e-5,4.170342933891102e-5,6415,6549,6738
Zbtb45,4.4505524661648614e-5,5.609855391798947e-5,3.655719590701379e-5,6416,5784,7291
Dnajc6,4.450482642748615e-5,4.659220013166915e-5,2.1945367445266448e-5,6417,6725,9619
Rtn1,4.447270613330323e-5,2.969579991371064e-5,3.1714333389289945e-5,6418,8881,7976
Pomt2,4.444814723393575e-5,1.1372008417680831e-4,2.713115604688395e-4,6419,2881,611
Impdh2,4.440145683789625e-5,6.25498475448971e-5,1.3068864672075524e-4,6420,5278,2527
Pan2,4.438147918187909e-5,2.8719623281524917e-5,7.138472555054088e-5,6421,9054,4535
Rnf125,4.4362665715741084e-5,4.067477366774935e-5,1.7042988626338506e-5,6422,7330,10597
FTH1_gene25869,4.4354773890812716e-5,3.128540990765224e-5,6.363030002511159e-5,6423,8612,4997
Spen,4.435425668521648e-5,9.694876097316472e-5,6.864805390219122e-5,6424,3383,4697
Canx,4.434730221746761e-5,3.1117641433204356e-5,9.41343105366619e-5,6425,8649,3594
LOC106145494,4.4342258153116386e-05,1.2686538883892028e-5,1.833038567949656e-5,6426,11900,10309
Tmem8a,4.433734102052155e-5,1.383621920927302e-5,1.1679361600948975e-4,6427,11743,2907
Hectd4,4.433593562671324e-5,2.6096547558773705e-5,1.6204554585701197e-5,6428,9507,10767
Ipcef1,4.432872225286666e-5,4.237777806689171e-5,6.189579797144412e-5,6429,7138,5105
Senp7,4.4311915640917894e-5,7.487293875356529e-5,3.844293616082488e-5,6430,4536,7093
Swt1,4.431115687420871e-5,1.2221284367196786e-5,9.057751293807024e-5,6431,11944,3689
Dgcr6l,4.430595954490342e-5,1.3513940089535388e-4,5.30953805332083e-5,6432,2200,5719
Gapdh,4.430040032571647e-5,1.1133066060259602e-5,6.016606896810888e-5,6433,12013,5236
Atf2,4.429442394034182e-5,6.440344951097392e-5,4.454667846337298e-5,6434,5160,6478
Dpp4,4.4280430331383825e-5,1.608869031544971e-5,0,6435,11353,12501
Tm7sf2,4.427991713618239e-5,5.698633747811117e-5,2.4305917487988197e-5,6436,5714,9228
Sorcs3,4.4257859548649054e-5,1.5193191976146082e-4,2.434504545275268e-5,6437,1811,9221
Tmed2,4.424154440074266e-5,2.850257470420164e-4,2.791997824628599e-4,6438,732,411
Myof,4.4237248567678515e-5,2.486407218480519e-5,2.8420987969508784e-5,6439,9689,8496
Smdt1,4.423713490150545e-5,5.843002674285376e-5,1.734627239423541e-4,6440,5579,1680
Mapk6,4.423557242568312e-5,4.4815352753630814e-5,5.356079231421696e-5,6441,6908,5683
Mrap2,4.422745695615534e-5,2.718785744635796e-5,6.367241445210849e-5,6442,9318,4995
Tulp4,4.420836265888855e-5,4.074156248735105e-5,6.700997083478551e-5,6443,7322,4787
Rpl18a,4.419714519460811e-5,2.1949203285639223e-5,1.349798672245585e-5,6444,10216,11402
Wdr5,4.417138576388951e-5,9.148728913589039e-5,1.2263986749877666e-4,6445,3584,2733
Slu7,4.4157035664559594e-5,1.2078445894715968e-4,1.2650465578298515e-4,6446,2686,2635
Phip,4.415275374117512e-5,4.2443959268467204e-5,2.6946382926436666e-5,6447,7133,8744
Sec62,4.414526110282736e-5,1.716198555712618e-4,2.8687371969270504e-5,6448,1523,8462
Fam199x,4.413614394251168e-5,4.69413822740031e-5,3.715952450605164e-5,6449,6692,7224
Rasgrp2,4.412435886623466e-5,2.1976339525853536e-4,2.0072060116541828e-5,6450,988,9964
SDAD1,4.412247796947275e-5,0,0,6451,12575.5,12501
PCDHGB7_like,4.410975688450064e-5,0,0,6452,12575.5,12501
Skil,4.4105799606317674e-5,4.0808801269967775e-5,3.734035483555708e-5,6453,7312,7200
Slc37a2,4.409844913439053e-5,1.0258687072965103e-4,8.515865236288553e-5,6454,3176,3880
ZIK1_like,4.407782093759751e-5,2.2974564904209504e-5,6.139825514480989e-5,6455,10029,5148
Pdp1,4.407482614031457e-5,5.818715188447906e-5,1.8540208741346127e-4,6456,5604,1519
Bhlhe40,4.4072746190081134e-5,4.387816632075348e-5,2.966899335259569e-5,6457,6990,8287
Kiaa0895,4.405988137686377e-5,2.871439436641248e-5,2.075009104143142e-4,6458,9056,1256
Cmc2,4.40453187942858e-5,1.310737545515422e-4,1.2907127661501038e-4,6459,2297,2575
Ankfy1,4.404184340771206e-5,3.4034861164620984e-5,3.413502477900582e-5,6460,8209,7625
Tmem63c,4.4026078896683296e-5,7.407793240600932e-5,2.259276534879453e-5,6461,4577,9498
Rasal1,4.401892223240078e-5,0,4.856847923345342e-5,6462,12575.5,6110
Slc16a14,4.401736258114593e-5,4.351459555518363e-5,6.184517859781456e-5,6463,7031,5111
Irf3,4.400879641449682e-5,4.590730669569862e-5,5.552964628860905e-5,6464,6785,5536
Papd5,4.400131781922791e-5,3.1628194883746106e-5,9.92353388197298e-5,6465,8562,3448
Lysmd3,4.3979389647781055e-5,4.866244056908139e-5,1.8913976955889567e-4,6466,6505,1488
Eftud2,4.397799745411555e-5,2.4118195707830632e-4,5.65315837456489e-5,6467,851,5468
Kcnh1,4.396815562552962e-5,4.483327518087556e-5,1.7599515627894825e-5,6468,6905,10468
Slc10a3,4.395745737980467e-5,1.377931517267916e-5,1.368113860555743e-4,6469,11748,2356
