"","gene","n","module_n","module_color"
"2369","Romo1",6,2,"blue"
"2370","Rpain",8,8,"pink"
"2371","Rpgrip1l",9,1,"turquoise"
"2372","Rpia",20,1,"turquoise"
"2373","Rpl10",5,13,"salmon"
"2374","Rpl10a",38,2,"blue"
"2375","Rpl13",7,2,"blue"
"2376","Rpl15",15,2,"blue"
"2377","Rpl18",5,2,"blue"
"2378","Rpl18a",14,2,"blue"
"2379","Rpl19",96,2,"blue"
"2380","Rpl26",2,2,"blue"
"2381","Rpl26l1",4,3,"brown"
"2382","Rpl27",13,2,"blue"
"2383","Rpl28",73,2,"blue"
"2384","Rpl29",16,2,"blue"
"2385","Rpl31",4,2,"blue"
"2386","Rpl35",6,2,"blue"
"2387","Rpl36",75,2,"blue"
"2388","Rpl36al",29,2,"blue"
"2389","Rpl38",20,2,"blue"
"2390","RPL5_gene21166",10,13,"salmon"
"2391","Rpl7a",109,2,"blue"
"2392","Rpl7l1",40,1,"turquoise"
"2393","Rpl8",130,2,"blue"
"2394","Rpl9",8,2,"blue"
"2395","Rplp0",100,3,"brown"
"2396","Rpn2",7,2,"blue"
"2397","Rpp25l",156,1,"turquoise"
"2398","Rprd1b",86,1,"turquoise"
"2399","Rprd2",3,1,"turquoise"
"2400","Rps10",9,2,"blue"
"2401","Rps11",12,2,"blue"
"2402","Rps14",24,2,"blue"
"2403","Rps15",8,2,"blue"
"2404","Rps15a",19,3,"brown"
"2405","Rps17",67,2,"blue"
"2406","Rps18",9,2,"blue"
"2407","Rps19",4,2,"blue"
"2408","Rps2",70,2,"blue"
"2409","Rps23",2,2,"blue"
"2410","Rps26",39,2,"blue"
"2411","Rps28",19,2,"blue"
"2412","Rps5",9,2,"blue"
"2413","Rps6kb1",481,1,"turquoise"
"2414","Rps6kl1",31,11,"greenyellow"
"2415","Rptor",29,2,"blue"
"2416","Rraga",69,2,"blue"
"2417","Rragd",33,3,"brown"
"2418","Rras2",106,1,"turquoise"
"2419","Rrbp1",4,3,"brown"
"2420","Rrn3",16,5,"green"
"2421","Rrp7a",53,1,"turquoise"
"2422","Rrp8",294,1,"turquoise"
"2423","Rsbn1",371,1,"turquoise"
"2424","Rsbn1l",379,1,"turquoise"
"2425","Rsf1",16,1,"turquoise"
"2426","Rsl1d1",9,5,"green"
"2427","Rspry1",304,1,"turquoise"
"2428","Rsrc2",107,1,"turquoise"
"2429","RSRP1_containing",199,1,"turquoise"
"2430","Rtca",3,3,"brown"
"2431","Rtcb",34,3,"brown"
"2432","Rtf1",15,5,"green"
"2433","Rtfdc1",84,3,"brown"
"2434","Rtkn",15,12,"tan"
"2435","Rtl10",3,1,"turquoise"
"2436","Rtl5",52,8,"pink"
"2437","Rtl6",16,1,"turquoise"
"2438","RTRAF_containing",2,3,"brown"
"2439","Rubcn",61,1,"turquoise"
"2440","Rundc3a",8,7,"black"
"2441","Runx1t1",108,1,"turquoise"
"2442","RYBP_like",267,1,"turquoise"
"2443","Ryr3",5,8,"pink"
"2444","S100a6",10,3,"brown"
"2445","Sac3d1",7,1,"turquoise"
"2446","Sacs",27,1,"turquoise"
"2447","Sall1",15,18,"lightgreen"
"2448","Samd15",126,1,"turquoise"
"2449","Samd8",250,1,"turquoise"
"2450","Samm50",7,3,"brown"
"2451","Sap18",23,6,"red"
"2452","Sap30l",7,1,"turquoise"
"2453","SAR1B_containing",8,3,"brown"
"2454","Sars",9,6,"red"
"2455","Sass6",40,18,"lightgreen"
"2456","Sat1",9,2,"blue"
"2457","Sav1",13,1,"turquoise"
"2458","Sbds",5,3,"brown"
"2459","Sbk1",25,1,"turquoise"
"2460","Sc5d",65,1,"turquoise"
"2461","Scaf11",9,1,"turquoise"
"2462","Scaf8",185,2,"blue"
"2463","SCD_like",4,12,"tan"
"2464","Scg5",9,9,"magenta"
"2465","Scn1b",3,2,"blue"
"2466","Scn2b",9,7,"black"
"2467","Scn7a",7,5,"green"
"2468","SCRN1_containing",3,0,"grey"
"2469","SCRN1_G16600",2,0,"grey"
"2470","Sdccag3",52,2,"blue"
"2471","Sdf4",104,2,"blue"
"2472","Sdhb",100,2,"blue"
"2473","Sdhc",33,2,"blue"
"2474","Sdhd",4,3,"brown"
"2475","Sdk1",14,4,"yellow"
"2476","Sdr42e1",3,2,"blue"
"2477","Sec11a",3,5,"green"
"2478","Sec13",27,3,"brown"
"2479","Sec14l5",9,12,"tan"
"2480","Sec16a",9,5,"green"
"2481","Sec24c",8,5,"green"
"2482","Sec61a1",5,3,"brown"
"2483","Sec61a2",124,1,"turquoise"
"2484","Selenof",83,3,"brown"
"2485","Selenom",19,2,"blue"
"2486","Selenow",28,2,"blue"
"2487","Sem1",7,3,"brown"
"2488","Sema4a",4,2,"blue"
"2489","Sema4c",5,8,"pink"
"2490","Senp6",4,6,"red"
"2491","Senp7",331,1,"turquoise"
"2492","Sept11",18,8,"pink"
"2493","Sept2",24,3,"brown"
"2494","Sept4",11,12,"tan"
