"","gene","n","module_n","module_color"
"945","Dlgap4",40,11,"greenyellow"
"946","Dlst",22,20,"royalblue"
"947","Dmd",52,4,"yellow"
"948","DMD",8,29,"saddlebrown"
"949","Dmtf1",8,5,"green"
"950","Dmtn",156,9,"magenta"
"951","Dmxl1",10,29,"saddlebrown"
"952","Dmxl2",8,29,"saddlebrown"
"953","Dnajb14",34,1,"turquoise"
"954","Dnajb5",20,9,"magenta"
"955","DNAJB6_gene20002",9,1,"turquoise"
"956","Dnajb9",8,6,"red"
"957","Dnajc16",99,2,"blue"
"958","Dnajc18",12,1,"turquoise"
"959","Dnajc7",36,1,"turquoise"
"960","Dnajc8",46,1,"turquoise"
"961","Dnal1",8,3,"brown"
"962","Dnase1",15,2,"blue"
"963","Dnm1",40,9,"magenta"
"964","Dnm1l",5,1,"turquoise"
"965","Dnm2",13,19,"lightyellow"
"966","Dnm3",51,5,"green"
"967","Dnmt1",137,2,"blue"
"968","Dnmt3a",41,12,"tan"
"969","Dnttip2",13,1,"turquoise"
"970","Doc2a",83,3,"brown"
"971","Dock3",43,11,"greenyellow"
"972","Dock4",23,3,"brown"
"973","Dock8",3,4,"yellow"
"974","Dok4",30,2,"blue"
"975","DOK6_containing",16,6,"red"
"976","Dolk",3,1,"turquoise"
"977","Dopey1",12,25,"orange"
"978","Dot1l",52,12,"tan"
"979","Dpf1",56,2,"blue"
"980","Dpf2",19,2,"blue"
"981","Dph2",195,4,"yellow"
"982","Dph5",11,1,"turquoise"
"983","Dph6",5,6,"red"
"984","Dpp9",13,12,"tan"
"985","Dpy19l1",47,1,"turquoise"
"986","Dpy19l3",4,3,"brown"
"987","Dpy19l4",8,1,"turquoise"
"988","Dpy30",49,1,"turquoise"
"989","Dpyd",5,13,"salmon"
"990","Dpysl3",13,5,"green"
"991","Dpysl4",14,11,"greenyellow"
"992","Drd2",5,0,"grey"
"993","Drg1",3,10,"purple"
"994","Drp2",129,9,"magenta"
"995","Dscr3",14,8,"pink"
"996","Dstn",61,1,"turquoise"
"997","Dtd1",35,1,"turquoise"
"998","Dtx3",2,14,"cyan"
"999","Dusp12",19,1,"turquoise"
"1000","Dusp14",53,3,"brown"
"1001","Dusp16",3,4,"yellow"
"1002","Dusp3",10,18,"lightgreen"
"1003","Dusp6",128,2,"blue"
"1004","DUSP7_gene26322",170,2,"blue"
"1005","Dusp8",12,11,"greenyellow"
"1006","Dut",2,1,"turquoise"
"1007","Dvl1",3,15,"midnightblue"
"1008","Dvl2",223,2,"blue"
"1009","Dvl3",9,7,"black"
"1010","Dync1i2",179,1,"turquoise"
"1011","Dync1li2",12,1,"turquoise"
"1012","Dync2h1",2,29,"saddlebrown"
"1013","Dyrk1b",39,2,"blue"
"1014","Dyrk2",47,3,"brown"
"1015","E2f3",11,2,"blue"
"1016","E2f4",33,2,"blue"
"1017","E2f5",4,1,"turquoise"
"1018","Eapp",4,1,"turquoise"
"1019","EAPP_gene22256",6,1,"turquoise"
"1020","Ebag9",128,1,"turquoise"
"1021","Ece2",1,21,"darkred"
"1022","Ech1",18,1,"turquoise"
"1023","Echdc1",5,5,"green"
"1024","Eci1",30,1,"turquoise"
"1025","Eci2",87,1,"turquoise"
"1026","Ecsit",6,8,"pink"
"1027","Edc4",15,12,"tan"
"1028","Edem3",43,4,"yellow"
"1029","Edil3",4,13,"salmon"
"1030","Eea1",1,33,"darkolivegreen"
"1031","Eed",148,4,"yellow"
"1032","Eef1b2",6,1,"turquoise"
"1033","Eef2k",32,2,"blue"
"1034","Eepd1",3,3,"brown"
"1035","Efcab14",39,5,"green"
"1036","Efna3",22,2,"blue"
"1037","Efnb3",3,3,"brown"
"1038","EGFEM1P_containing_gene15217",6,9,"magenta"
"1039","Egln2",2,2,"blue"
"1040","Egr1",211,2,"blue"
"1041","Egr3",110,9,"magenta"
"1042","Egr4",181,2,"blue"
"1043","Ehmt1",3,2,"blue"
"1044","Eid1",60,1,"turquoise"
"1045","Eif1",18,1,"turquoise"
"1046","Eif1ax",33,6,"red"
"1047","Eif2a",117,1,"turquoise"
"1048","Eif2ak1",6,1,"turquoise"
"1049","Eif2ak4",24,1,"turquoise"
"1050","Eif2s2",21,1,"turquoise"
"1051","Eif2s3",12,1,"turquoise"
"1052","Eif3b",8,20,"royalblue"
"1053","EIF3CL",33,8,"pink"
"1054","Eif3d",7,1,"turquoise"
"1055","Eif3e",122,1,"turquoise"
"1056","Eif3f",6,8,"pink"
"1057","Eif3h",69,1,"turquoise"
"1058","Eif3i",51,1,"turquoise"
"1059","Eif3k",13,1,"turquoise"
"1060","Eif3l",46,1,"turquoise"
"1061","Eif3m",59,1,"turquoise"
"1062","Eif4a2",3,13,"salmon"
"1063","Eif4b",25,1,"turquoise"
"1064","Eif4e",28,6,"red"
"1065","Eif4ebp2",50,4,"yellow"
"1066","Eif5",10,1,"turquoise"
"1067","Eif5a",2,1,"turquoise"
"1068","Elavl1",19,4,"yellow"
"1069","Elf2",136,2,"blue"
"1070","Elfn2",29,2,"blue"
"1071","Elk1",81,2,"blue"
"1072","Elk4",12,3,"brown"
"1073","Ell",61,2,"blue"
"1074","Elmo1",8,5,"green"
"1075","Elmod3",4,14,"cyan"
"1076","Elmsan1",205,4,"yellow"
"1077","Elob",3,1,"turquoise"
"1078","Eloc",54,6,"red"
"1079","Elovl1",11,5,"green"
"1080","Elovl5",9,10,"purple"
"1081","Emc10",11,1,"turquoise"
"1082","Emc7",57,1,"turquoise"
"1083","Eml2",33,5,"green"
"1084","Emsy",206,2,"blue"
"1085","Enc1",188,3,"brown"
"1086","Enho",19,1,"turquoise"
"1087","Eno1",53,1,"turquoise"
"1088","Enoph1",18,1,"turquoise"
"1089","Enpp5",7,6,"red"
"1090","Ensa",16,3,"brown"
"1091","ENSSTOG00000021438",14,2,"blue"
"1092","ENSSTOG00000029362",205,2,"blue"
"1093","ENSSTOG00000029624",3,2,"blue"
"1094","ENSSTOG00000029690",22,3,"brown"
"1095","ENSSTOG00000029825",109,9,"magenta"
"1096","ENSSTOG00000030034",6,1,"turquoise"
"1097","ENSSTOG00000030386",31,3,"brown"
"1098","ENSSTOG00000030432",6,29,"saddlebrown"
"1099","ENSSTOG00000030810",184,3,"brown"
"1100","ENSSTOG00000032137",4,18,"lightgreen"
"1101","ENSSTOG00000032161",155,3,"brown"
"1102","ENSSTOG00000032437",27,2,"blue"
"1103","ENSSTOG00000032645",8,0,"grey"
"1104","Entpd5",30,5,"green"
"1105","Ep300",83,2,"blue"
"1106","Ep400",85,12,"tan"
"1107","Epas1",7,22,"darkgreen"
"1108","Epb41l1",3,22,"darkgreen"
"1109","Epb41l2",3,1,"turquoise"
"1110","Epb41l3",34,5,"green"
"1111","Epc2",19,24,"darkgrey"
"1112","Epg5",17,0,"grey"
"1113","Epha3",25,3,"brown"
"1114","Epha4",83,3,"brown"
"1115","Epha5",62,3,"brown"
"1116","Epha7",24,3,"brown"
"1117","Ephb1",13,5,"green"
"1118","Ephb3",87,2,"blue"
"1119","Ephb6",40,11,"greenyellow"
"1120","Ephx2",26,5,"green"
"1121","Epn2",147,2,"blue"
"1122","Eprs",6,10,"purple"
"1123","Eps15",3,13,"salmon"
"1124","Eps8",7,5,"green"
"1125","Erbb3",15,0,"grey"
"1126","Erbb4",4,29,"saddlebrown"
"1127","Erbin",34,10,"purple"
"1128","ERC2_like_gene1402",59,3,"brown"
"1129","Erf",13,2,"blue"
"1130","Ergic1",2,11,"greenyellow"
"1131","Ergic3",3,1,"turquoise"
"1132","Erh",31,1,"turquoise"
"1133","Erlec1",44,1,"turquoise"
"1134","Ermn",3,5,"green"
"1135","Ern1",95,2,"blue"
"1136","Erp29",23,1,"turquoise"
"1137","Esco1",167,4,"yellow"
"1138","Esd",62,1,"turquoise"
"1139","Esrra",5,4,"yellow"
"1140","Esyt1",5,17,"grey60"
"1141","Esyt3",6,9,"magenta"
"1142","Etf1",6,6,"red"
"1143","Etfa",81,1,"turquoise"
"1144","Etfdh",64,1,"turquoise"
"1145","Etfrf1",56,1,"turquoise"
"1146","Etnk1",13,6,"red"
"1147","Ets2",73,2,"blue"
"1148","Etv1",4,3,"brown"
"1149","Etv3",128,4,"yellow"
"1150","Eva1a",7,1,"turquoise"
"1151","Evi2a",16,5,"green"
"1152","Evl",12,9,"magenta"
"1153","Evpl",72,11,"greenyellow"
"1154","Exd2",3,3,"brown"
"1155","EXOC1",99,1,"turquoise"
"1156","EXOC4_like_gene13945",5,5,"green"
"1157","EXOC4_like_gene13947",85,1,"turquoise"
"1158","Exoc5",6,6,"red"
"1159","Exoc6",6,3,"brown"
"1160","EXOC6",6,3,"brown"
"1161","Exosc4",52,1,"turquoise"
"1162","Exosc9",4,1,"turquoise"
"1163","Eya3",303,4,"yellow"
"1164","F13a1",2,0,"grey"
"1165","Faah",94,3,"brown"
"1166","Faah2",3,5,"green"
"1167","Fabp7",2,1,"turquoise"
"1168","Fadd",262,4,"yellow"
"1169","Fads1",4,1,"turquoise"
"1170","Fads2",5,5,"green"
"1171","Faf1",124,1,"turquoise"
"1172","Fahd1",22,1,"turquoise"
"1173","Faim2",5,8,"pink"
"1174","Fam102a",31,9,"magenta"
"1175","Fam102b",19,3,"brown"
"1176","Fam103a1",4,5,"green"
"1177","Fam117a",145,4,"yellow"
"1178","FAM120C",7,2,"blue"
"1179","Fam126b",10,28,"skyblue"
"1180","Fam131a",178,3,"brown"
"1181","Fam131b",70,3,"brown"
"1182","Fam135a",7,4,"yellow"
"1183","Fam136a",183,4,"yellow"
"1184","Fam155b",4,4,"yellow"
"1185","Fam160a1",118,2,"blue"
"1186","Fam160a2",4,11,"greenyellow"
"1187","Fam160b1",127,4,"yellow"
"1188","Fam160b2",12,17,"grey60"
"1189","Fam161a",4,24,"darkgrey"
"1190","Fam162a",3,1,"turquoise"
"1191","Fam171a1",59,3,"brown"
"1192","Fam171a2",19,9,"magenta"
