"","gene","n","module_n","module_color"
"604","Cfap36",3,22,"darkgreen"
"605","Cfap97",3,1,"turquoise"
"606","Cfl1",163,2,"blue"
"607","Cggbp1",6,1,"turquoise"
"608","Cgn",5,12,"tan"
"609","Cgnl1",42,12,"tan"
"610","Champ1",269,1,"turquoise"
"611","Chchd10",68,2,"blue"
"612","Chchd2",19,2,"blue"
"613","Chchd5",8,4,"yellow"
"614","Chd2",10,1,"turquoise"
"615","Chd3",4,1,"turquoise"
"616","Chd6",100,3,"brown"
"617","Chd7",4,1,"turquoise"
"618","Chd9",29,1,"turquoise"
"619","Cherp",4,3,"brown"
"620","Chfr",214,1,"turquoise"
"621","Chga",95,9,"magenta"
"622","Chgb",3,20,"royalblue"
"623","Chic1",81,1,"turquoise"
"624","Chid1",180,2,"blue"
"625","Chka",5,7,"black"
"626","Chl1",49,3,"brown"
"627","Chm",6,6,"red"
"628","Chmp1b",7,2,"blue"
"629","Chmp2a",76,4,"yellow"
"630","Chmp3",3,2,"blue"
"631","Chmp4b",20,4,"yellow"
"632","Chmp6",2,14,"cyan"
"633","Chordc1",67,1,"turquoise"
"634","Chpf",21,2,"blue"
"635","Chpf2",35,2,"blue"
"636","Chrm2",74,3,"brown"
"637","Chrnb2",64,2,"blue"
"638","Chst10",100,2,"blue"
"639","Chst2",10,5,"green"
"640","Ciapin1",7,2,"blue"
"641","Cib1",8,4,"yellow"
"642","Cirbp",53,2,"blue"
"643","Cit",32,1,"turquoise"
"644","Cited2",120,1,"turquoise"
"645","Ciz1",15,8,"pink"
"646","Ckap4",6,2,"blue"
"647","Ckap5",3,3,"brown"
"648","Ckb",36,4,"yellow"
"649","Ckmt1a",4,9,"magenta"
"650","Clasp2",3,6,"red"
"651","Clasrp",5,8,"pink"
"652","Clcn3",4,6,"red"
"653","Cldn11",5,5,"green"
"654","Cldn12",83,1,"turquoise"
"655","Cldn15",3,4,"yellow"
"656","Clec2l",88,2,"blue"
"657","Clic6",23,12,"tan"
"658","Clint1",27,1,"turquoise"
"659","Clip1",3,6,"red"
"660","Clip3",3,2,"blue"
"661","Clk1",227,1,"turquoise"
"662","Clk2",5,10,"purple"
"663","Clk4",318,1,"turquoise"
"664","Clns1a",11,2,"blue"
"665","Clock",74,1,"turquoise"
"666","Clpb",4,15,"midnightblue"
"667","Clpp",12,2,"blue"
"668","Clptm1",47,2,"blue"
