"","gene","n","module_n","module_color"
"956","G16353",30,1,"turquoise"
"957","G16444",271,1,"turquoise"
"958","G16448",311,1,"turquoise"
"959","G16467",311,2,"blue"
"960","G16591",9,0,"grey"
"961","G16694",103,1,"turquoise"
"962","G16730",7,22,"darkgreen"
"963","G1686",14,1,"turquoise"
"964","G16932",4,1,"turquoise"
"965","G17062",4,7,"black"
"966","G17099",7,5,"green"
"967","G17355",5,0,"grey"
"968","G17370",5,0,"grey"
"969","G17390",90,2,"blue"
"970","G17908",23,2,"blue"
"971","G17997",41,4,"yellow"
"972","G180",9,1,"turquoise"
"973","G18108",4,1,"turquoise"
"974","G18114",5,1,"turquoise"
"975","G18437",10,0,"grey"
"976","G18539",184,1,"turquoise"
"977","G18565",10,0,"grey"
"978","G18625",41,1,"turquoise"
"979","G18628",448,1,"turquoise"
"980","G18649",352,1,"turquoise"
"981","G18650",413,1,"turquoise"
"982","G18681",5,5,"green"
"983","G18683",3,5,"green"
"984","G18710",12,1,"turquoise"
"985","G1874",23,1,"turquoise"
"986","G18986",6,1,"turquoise"
"987","G19095",8,1,"turquoise"
"988","G19192",20,1,"turquoise"
"989","G19206",16,1,"turquoise"
"990","G19284",199,2,"blue"
"991","G19496",10,1,"turquoise"
"992","G19523",163,1,"turquoise"
"993","G19690",21,1,"turquoise"
"994","G19946",10,1,"turquoise"
"995","G19961",23,1,"turquoise"
"996","G20217",4,22,"darkgreen"
"997","G20284",25,1,"turquoise"
"998","G2032",41,1,"turquoise"
"999","G20343",210,1,"turquoise"
"1000","G20356",3,16,"lightcyan"
"1001","G20361",45,1,"turquoise"
"1002","G20364",3,4,"yellow"
"1003","G20435",11,8,"pink"
"1004","G20768",7,1,"turquoise"
"1005","G2094",64,2,"blue"
"1006","G21065",94,8,"pink"
"1007","G2127",44,1,"turquoise"
"1008","G21337",35,1,"turquoise"
"1009","G21460",19,4,"yellow"
"1010","G21727",215,1,"turquoise"
"1011","G21786",22,1,"turquoise"
"1012","G21802",66,2,"blue"
"1013","G21808",86,1,"turquoise"
"1014","G21909",5,5,"green"
"1015","G21914",7,0,"grey"
"1016","G21945",34,1,"turquoise"
