"","gene","n","module_n","module_color"
"2106","Itfg1",20,0,"grey"
"2107","Itm2a",11,3,"brown"
"2108","Itm2b",34,11,"greenyellow"
"2109","Itpa",3,3,"brown"
"2110","Itpka",216,1,"turquoise"
"2111","Itpkb",27,2,"blue"
"2112","Itpkc",7,1,"turquoise"
"2113","Itpr1",169,4,"yellow"
"2114","ITSN1_like",5,14,"cyan"
"2115","Itsn2",17,6,"red"
"2116","Ivns1abp",8,1,"turquoise"
"2117","Jag2",52,1,"turquoise"
"2118","JHY",4,5,"green"
"2119","Jmjd4",30,1,"turquoise"
"2120","Jmjd6",127,1,"turquoise"
"2121","Jmy",40,1,"turquoise"
"2122","Jph1",7,1,"turquoise"
"2123","Jph3",114,4,"yellow"
"2124","Jph4",173,4,"yellow"
"2125","JPH4",20,4,"yellow"
"2126","Jrkl",40,6,"red"
"2127","Junb",6,1,"turquoise"
"2128","Kalrn",57,1,"turquoise"
"2129","KALRN_like",228,4,"yellow"
"2130","Kansl1",4,1,"turquoise"
"2131","Kansl2",8,1,"turquoise"
"2132","Kars",78,2,"blue"
"2133","Kat2a",2,16,"lightcyan"
"2134","Kat5",12,5,"green"
"2135","Kat6a",5,1,"turquoise"
"2136","Katnal1",9,11,"greenyellow"
"2137","KATNBL1_containing",46,6,"red"
"2138","Kbtbd11",3,4,"yellow"
"2139","KBTBD7",68,6,"red"
"2140","Kcmf1",7,8,"pink"
"2141","Kcna4",8,1,"turquoise"
"2142","Kcnab1",42,4,"yellow"
"2143","Kcnb1",167,4,"yellow"
"2144","KCNB1_containing_G30156",134,4,"yellow"
"2145","KCNB1_containing_G30158",123,0,"grey"
"2146","Kcnc3",2,36,"yellowgreen"
"2147","Kcnf1",199,4,"yellow"
"2148","Kcng1",26,0,"grey"
"2149","Kcng2",19,4,"yellow"
"2150","Kcnh1",59,4,"yellow"
"2151","Kcnh2",6,5,"green"
"2152","Kcnh3",213,4,"yellow"
"2153","Kcnh4",80,4,"yellow"
"2154","Kcnh5",4,17,"grey60"
"2155","Kcnh7",15,17,"grey60"
"2156","Kcnh8",21,2,"blue"
"2157","Kcnip2",47,4,"yellow"
"2158","Kcnip3",159,4,"yellow"
"2159","Kcnj10",12,3,"brown"
"2160","Kcnj13",8,38,"plum1"
"2161","Kcnj16",57,3,"brown"
"2162","Kcnj2",277,1,"turquoise"
"2163","Kcnj4",240,4,"yellow"
"2164","KCNJ6",2,4,"yellow"
"2165","Kcnj9",119,4,"yellow"
"2166","Kcnk2",9,1,"turquoise"
"2167","Kcnk4",76,0,"grey"
"2168","Kcnma1",15,4,"yellow"
"2169","KCNMA1_containing",5,4,"yellow"
"2170","Kcnmb4",139,4,"yellow"
"2171","Kcnn1",31,4,"yellow"
"2172","Kcnq2",170,4,"yellow"
"2173","Kcnq3",5,4,"yellow"
"2174","KCNQ3_containing",9,4,"yellow"
"2175","Kcnq5",48,4,"yellow"
"2176","Kcnt1",11,20,"royalblue"
"2177","Kcnt2",5,4,"yellow"
"2178","Kcnv1",136,4,"yellow"
"2179","Kctd1",53,4,"yellow"
"2180","Kctd10",5,10,"purple"
"2181","Kctd13",11,4,"yellow"
"2182","KCTD16_containing",16,1,"turquoise"
"2183","Kctd21",132,1,"turquoise"
"2184","Kctd3",13,6,"red"
"2185","Kctd9",7,32,"violet"
"2186","Kdm1b",3,1,"turquoise"
"2187","Kdm2a",230,1,"turquoise"
"2188","Kdm2b",86,1,"turquoise"
"2189","Kdm3a",26,10,"purple"
"2190","Kdm5a",89,1,"turquoise"
"2191","Kdm5b",246,1,"turquoise"
"2192","Kdm6b",12,1,"turquoise"
"2193","Kdm7a",33,1,"turquoise"
"2194","Khdrbs3",60,4,"yellow"
"2195","Khsrp",16,1,"turquoise"
"2196","Kiaa0355",7,10,"purple"
"2197","Kiaa0513",8,20,"royalblue"
"2198","Kiaa0753",86,1,"turquoise"
"2199","Kiaa0895l",5,4,"yellow"
"2200","Kiaa1024l",31,5,"green"
"2201","Kiaa1109",2,29,"saddlebrown"
"2202","Kiaa1147",19,1,"turquoise"
"2203","Kiaa1191",123,3,"brown"
"2204","Kiaa1211l",213,4,"yellow"
"2205","Kiaa1217",12,4,"yellow"
"2206","Kiaa1324",6,1,"turquoise"
"2207","Kiaa1522",29,4,"yellow"
"2208","Kiaa1549",3,1,"turquoise"
"2209","KIAA1549_containing",14,1,"turquoise"
"2210","Kiaa1549l",93,4,"yellow"
"2211","Kiaa1671",37,1,"turquoise"
"2212","Kiaa2026",2,1,"turquoise"
"2213","Kif13b",14,1,"turquoise"
"2214","Kif1a",8,12,"tan"
"2215","Kif21a",3,25,"orange"
"2216","Kif21b",88,1,"turquoise"
"2217","KIF3A_containing",3,11,"greenyellow"
"2218","Kifc2",4,4,"yellow"
"2219","Kin",7,1,"turquoise"
"2220","Kiss1r",62,4,"yellow"
"2221","Kiz",100,2,"blue"
"2222","Kl",8,38,"plum1"
"2223","Klc1",3,22,"darkgreen"
"2224","Klc2",4,12,"tan"
"2225","Klf13",3,0,"grey"
"2226","KLF15_like",23,1,"turquoise"
"2227","Klf16",42,4,"yellow"
"2228","Klhl1",7,5,"green"
"2229","Klhl13",15,5,"green"
"2230","Klhl18",114,1,"turquoise"
"2231","Klhl2",148,4,"yellow"
"2232","Klhl20",21,1,"turquoise"
