"","topcorgene","module_color","module_n","module_genes","membership"
"380","UBE2G1_like_ENSSTOG00000021672","lightgreen",18,194,0.846673756243816
"381","Pi4kb","lightyellow",19,167,0.922581103131541
"382","Xpo6","lightyellow",19,167,0.885261674164475
"383","Map1s","lightyellow",19,167,0.855838400327642
"384","Sh3gl1","lightyellow",19,167,0.855281274930489
"385","Mbd1","lightyellow",19,167,0.84909774615903
"386","Rexo1","lightyellow",19,167,0.84234070625393
"387","Tmcc1","lightyellow",19,167,0.841411122639792
"388","Trim28","lightyellow",19,167,0.839053904944884
"389","Camsap3","lightyellow",19,167,0.837293444278188
"390","Fzr1","lightyellow",19,167,0.826702868071387
"391","Sart3","lightyellow",19,167,0.826413752843917
"392","Galnt2","lightyellow",19,167,0.824448372083367
"393","Alkbh5","lightyellow",19,167,0.821128905800803
"394","Med15","lightyellow",19,167,0.815850676059687
"395","Akr7a2","lightyellow",19,167,0.807351786881022
"396","Spns1","lightyellow",19,167,0.807275744506422
"397","Lrfn4","lightyellow",19,167,0.799282057878113
"398","Tbc1d22b","lightyellow",19,167,0.795495981948774
"399","Mta1","lightyellow",19,167,0.79272880624659
"400","Foxk2","lightyellow",19,167,0.791559903820193
"401","Tnrc18","royalblue",20,156,0.942677644189539
"402","LOC101957084","royalblue",20,156,0.942491178017779
"403","Rai1","royalblue",20,156,0.930292913391293
"404","Ttbk1","royalblue",20,156,0.926112123877596
"405","Plcg1","royalblue",20,156,0.922251112069129
"406","Ttyh3","royalblue",20,156,0.907315400811001
"407","Actn4","royalblue",20,156,0.906723076642313
"408","Bicra","royalblue",20,156,0.901068218798846
"409","Prr12","royalblue",20,156,0.899543832390172
"410","Elfn2","royalblue",20,156,0.896304167488166
"411","Pip5k1c","royalblue",20,156,0.89532522379688
"412","Srrm4","royalblue",20,156,0.886832550041265
"413","Prrc2b","royalblue",20,156,0.886474064735115
"414","Arid1a","royalblue",20,156,0.881543251096092
"415","Hectd4","royalblue",20,156,0.88054440592395
"416","Setd1b","royalblue",20,156,0.880198453103392
"417","Ksr2","royalblue",20,156,0.87833094794493
"418","Atg2a","royalblue",20,156,0.878252084523902
"419","Cacna1a","royalblue",20,156,0.87714175068115
"420","ANKRD11_containing_gene26121","royalblue",20,156,0.876951108212206
"421","G3859","darkred",21,136,0.935803939256491
"422","G18625","darkred",21,136,0.927436046436746
"423","Rif1","darkred",21,136,0.922832110835301
"424","Smg1","darkred",21,136,0.919741826381249
"425","G10904","darkred",21,136,0.917430931513486
"426","ZNF799_containing","darkred",21,136,0.910480989024144
"427","G37067","darkred",21,136,0.909324101535797
"428","Lcor","darkred",21,136,0.906030042929223
"429","G31955","darkred",21,136,0.899823340676242
"430","G9747","darkred",21,136,0.897107179351523
"431","Zbtb37","darkred",21,136,0.894868958298832
"432","Fam208b","darkred",21,136,0.892193116482174
"433","G9748","darkred",21,136,0.890582652117544
"434","G16444","darkred",21,136,0.886756107193312
"435","Med13","darkred",21,136,0.883553182111149
"436","G4582","darkred",21,136,0.877172111451667
"437","Cep350","darkred",21,136,0.876405335580065
"438","KMT2E-AS1_containing","darkred",21,136,0.873549187649925
"439","Mindy2","darkred",21,136,0.87201267866441
"440","Ubn2","darkred",21,136,0.870728039321174
"441","Ptpra","darkgreen",22,134,0.925116016577519
"442","Cspg5","darkgreen",22,134,0.924466379485115
"443","Brk1","darkgreen",22,134,0.896181451534724
"444","Id2","darkgreen",22,134,0.889966136681795
"445","Mcrs1","darkgreen",22,134,0.872000047790595
"446","Nrxn1","darkgreen",22,134,0.871989260067317
"447","Ensa","darkgreen",22,134,0.869358426965416
"448","Zbtb22","darkgreen",22,134,0.868617980444817
"449","March1","darkgreen",22,134,0.861193187204896
"450","Lrrtm4","darkgreen",22,134,0.857165808717362
"451","Eri3","darkgreen",22,134,0.85312998828169
"452","Scg5","darkgreen",22,134,0.848162904107184
"453","NUDT3_like","darkgreen",22,134,0.839384123638842
"454","Klc1","darkgreen",22,134,0.836807068955374
"455","Epc2","darkgreen",22,134,0.829063789813174
"456","Mettl26","darkgreen",22,134,0.826897379940695
"457","Cfl1","darkgreen",22,134,0.825572850702184
"458","Ppia","darkgreen",22,134,0.825500190224969
